Nest,TempCorr,Males,Females,TempUnCorr,MaleFreq,FemaleFreq,Cols
A1,33.014,0,10,33.15,0,1,#FF0000
A3,32.911,0,10,33.02,0,1,#FF0000
A5,32.704,0,11,32.8,0,1,#FF0000
A7,33.014,0,10,33.04,0,1,#FF0000
A9,33.014,0,10,33.09,0,1,#FF0000
B2,31.064,9,1,31.23,0.9,0.1,#1900E5
B4,30.862,6,4,30.95,0.6,0.4,#660099
B6,31.166,4,5,31.28,0.444444444,0.555555556,#8C0072
B8,31.37,3,7,31.43,0.3,0.7,#B2004C
B10,31.574,6,4,31.61,0.6,0.4,#660099
C1,31.778,3,7,31.82,0.3,0.7,#B2004C
C3,31.064,10,0,30.93,1,0,#0000FF
C5,31.268,10,0,31.15,1,0,#0000FF
C7,31.268,4,6,31.25,0.4,0.6,#990065
C9,31.472,3,7,31.37,0.3,0.7,#B2004C
D2,31.574,2,8,31.67,0.2,0.8,#CC0032
D4,31.37,3,7,31.4,0.3,0.7,#B2004C
D6,31.166,5,5,31.29,0.5,0.5,#7F007F
D8,31.166,9,1,31.26,0.9,0.1,#1900E5
D10,31.166,8,2,31.29,0.8,0.2,#3300CC
E1,32.291,1,8,32.27,0.111111111,0.888888889,#E50019
E3,31.88,2,9,31.76,0.181818182,0.818181818,#CC0032
E5,31.676,6,4,31.51,0.6,0.4,#660099
E7,31.574,7,4,31.51,0.636363636,0.363636364,#5900A5
E9,31.472,10,1,31.41,0.909090909,0.090909091,#1900E5